source,target,time
reisender,c28b8ff3-5581-495b-a449-149489a5398f,19250906
unknown,fbd591cd-45ef-453a-8b11-39857a386cb3,19250906
vertreter,d871f47c-031f-4644-a0ee-b7004c93ec64,19250906
baumwärter,35b68920-db52-42dd-b31f-d92469876b34,18800222
unknown,9b01ec09-aa80-4434-aa48-d4790bc3c9a2,19000307
hebamme,e1829468-b651-41d7-9646-5ed6cc2c3674,18940918
hebamme,1a92ee53-6acd-4e3b-9298-4edec07759eb,18940918
hunſtdüngeranalyſen,90eb0ab3-b54c-46a1-818b-a0fd91fda992,18940918
monogramme,f6468caf-bcb8-4842-ae6b-552a67174340,18940918
hebamme,cd7a65b7-690c-4a03-b8b8-ccfe6194aa6c,18940918
unknown,7651e57f-92fc-4fc0-8642-f0d02c97c3e5,19071123
unknown,5c1af1ef-4526-4add-999f-0cb024c80f50,19071123
unknown,8dac3d6d-6d14-45f7-9dac-84a41ea94a83,19071123
unknown,2e872398-0bcf-4128-b452-5e02be85b1d1,19071123
unknown,b066f00f-10a0-459a-bd4e-05b45c1b7da5,19071123
unknown,994099f5-4237-4d5e-a7d7-9d72068f47df,19061128
vertreter,c3bb4eff-6f0b-4de4-b784-62ead95a816f,19330923
unknown,a89c37b6-904f-4489-8c59-bf5ad3378a71,19330923
unknown,3d72dc36-317f-4c0d-ac04-db4896163e94,19330923
huslagenürrangeur,69f60b94-4110-42ec-b430-be8d1d13f458,19330923
iachmann,35c6d529-11b2-42c9-9726-b43834b5acb4,19330923
vertlreier,a0e168d8-8f78-4b57-ac5f-9b13d55c66b1,19330923
beamter,9b3d1a67-7933-44bd-88eb-d85672b989a2,19330923
verircier,e43e0e6b-3c03-4d77-8317-0b2b92594dd9,19330923
commis,2f0b3bf0-bd9b-448a-b69e-79792f49d03e,18960823
stütze der fruu,cfc14366-fad1-40b3-82ef-5c242b1aaea8,18960823
verkäufer,6c78b0c9-389d-49c7-9b1a-7947f797ca73,18960823
auslagenarrangeur,6c78b0c9-389d-49c7-9b1a-7947f797ca73,18960823
beſitzt,ca444aab-a632-4c76-8dfd-89053f60b3fe,18960823
commis,db562ca0-4216-4ab9-83d7-5128776f78a5,18960823
lehrknabe,7fee5a98-77cd-448f-80dd-19a80c3f66f2,18960823
unknown,bfd16c06-0ba0-4663-a566-04130105ca40,18960823
rüſliger,79ff56d2-c5d2-4846-b75a-a6481ad5f36f,18960823
kammermädchen,f5a7ba66-d3a7-4d07-9b71-de79a99fa26c,18960823
