id,label,group,color,pub,text
c28b8ff3-5581-495b-a449-149489a5398f,,job_search,#ffcc66,ptb,"Reisender, ſucht in der Schuhzugehörbranche einen Poſten gegen Fixum und Diäten. In Böhmen ſehr gut eingeführt bei Leder⸗ und Schuh geſchäften. Derzeit in ungekündigter Stehung. Anträge unter „Treu Z. 3002—9“ an die Verwaltung dieſes Blattes."
reisender,Reisender,position,#66b3ff,,
fbd591cd-45ef-453a-8b11-39857a386cb3,,job_offer,#7fff7f,ptb,"Wir ſuchen mehrere, ſelbſtändige Verkäufer der Textil⸗ und Modewarenbranche, ſowie Herren konfektion, ſo auch Arrangeure. Angebote unter Ch.: „Dauerſtellung Z. 3005—9“ an die Verw. d. Bl. 10651"
d871f47c-031f-4644-a0ee-b7004c93ec64,,job_offer,#7fff7f,ptb,"In allen Bezirken wollen uwir unsere Vertreter haben. Nur redegewandte Herren, welche Wohlverhaltungs- zeugnis haben, werden akzeptiert. Neuheit der Jetztzeit, in welcher wir ohne Konkurrenz sind. 3000 Kč monatlicher, nachweisbarer Verdienst außer besonderen Genüssen, Eingeführte Vertreter genießen besondere Berücksichtigung. Pilsen, Postfach 55. 21543"
vertreter,Vertreter,position,#66b3ff,,
35b68920-db52-42dd-b31f-d92469876b34,,job_offer,#7fff7f,ptb,"Ein Baumwärter, welcher auch Feldhegersdien ſte leiſten muß, wird auf der Do maine Solnitz bis 15. März aufgenommen. Bewerber muß tüchtige Prax zur Pflege einer Baumſchule nach weiſen können, geſund und ener giſch ſein. Verheiratheten wird, bei ſonſtiger Eignung auch für die Frau ein Dienſt zuge ſichert Beſoldung und ſonſtige Emolumente gegen 200 fl. Anfragen, ſowie nähere Auskunſt durch die Oekonomie⸗Inſpec tion zu Jeſchtětitz. Poſt Solnitz in Böhmen. 1987"
baumwärter,Baumwärter,position,#66b3ff,,
9b01ec09-aa80-4434-aa48-d4790bc3c9a2,,job_offer,#7fff7f,ptb,"Für ein größeres Waaren haus in Bremen wird zum 1. April für die Abtheilung Colo nialwaaren ein tüchtiger Verkäufer gesucht der die deutſche u. böhm. Sprache in Wort urd Schrift beherrſcht. Angebote mit Gehaltsanſprüchen, Photographie und Zeugniſſen unt. Ch. »E. 8420« an die Annoncen Expedition Wilh. Scheller in Bremen. 4045"
e1829468-b651-41d7-9646-5ed6cc2c3674,,service_offer,#ff6699,ptb,"Damen 8518 empfiehlt ihre Dienſte und liebe volle Aufnahme zur discr. Ent bindung die gut renom. und im J. 1866 diplom. Hebamme Fr. M. Hlava, Prag, Fleiſchhackergaſſe Nr. 5 n., 1 St., gegenüber dem Thurm, unweit v. Carlspl. Nach Wunſch Wohnung mit ſep. Eing."
hebamme,Hebamme,position,#66b3ff,,
