source,target,time
reisender,c28b8ff3-5581-495b-a449-149489a5398f,19250906
vertreter,d871f47c-031f-4644-a0ee-b7004c93ec64,19250906
baumwärter,35b68920-db52-42dd-b31f-d92469876b34,18800222
hebamme,e1829468-b651-41d7-9646-5ed6cc2c3674,18940918
hebamme,1a92ee53-6acd-4e3b-9298-4edec07759eb,18940918
hunſtdüngeranalyſen,90eb0ab3-b54c-46a1-818b-a0fd91fda992,18940918
monogramme,f6468caf-bcb8-4842-ae6b-552a67174340,18940918
hebamme,cd7a65b7-690c-4a03-b8b8-ccfe6194aa6c,18940918
vertreter,c3bb4eff-6f0b-4de4-b784-62ead95a816f,19330923
huslagenürrangeur,69f60b94-4110-42ec-b430-be8d1d13f458,19330923
iachmann,35c6d529-11b2-42c9-9726-b43834b5acb4,19330923
vertlreier,a0e168d8-8f78-4b57-ac5f-9b13d55c66b1,19330923
beamter,9b3d1a67-7933-44bd-88eb-d85672b989a2,19330923
verircier,e43e0e6b-3c03-4d77-8317-0b2b92594dd9,19330923
commis,2f0b3bf0-bd9b-448a-b69e-79792f49d03e,18960823
stütze der fruu,cfc14366-fad1-40b3-82ef-5c242b1aaea8,18960823
verkäufer,6c78b0c9-389d-49c7-9b1a-7947f797ca73,18960823
auslagenarrangeur,6c78b0c9-389d-49c7-9b1a-7947f797ca73,18960823
beſitzt,ca444aab-a632-4c76-8dfd-89053f60b3fe,18960823
commis,db562ca0-4216-4ab9-83d7-5128776f78a5,18960823
lehrknabe,7fee5a98-77cd-448f-80dd-19a80c3f66f2,18960823
rüſliger,79ff56d2-c5d2-4846-b75a-a6481ad5f36f,18960823
kammermädchen,f5a7ba66-d3a7-4d07-9b71-de79a99fa26c,18960823
verkäuferin,3effebd8-85ec-404f-a100-eb9b0cb1d975,18960823
erzieherinnen,5d44428d-fe01-4d41-bd99-8f24791662a1,18960823
stundenlehrerinnen,5d44428d-fe01-4d41-bd99-8f24791662a1,18960823
kinder gärtnerinnen,5d44428d-fe01-4d41-bd99-8f24791662a1,18960823
verkäuferinnen,e9c37125-0d80-40f3-9609-fa55ecc74355,18960823
credenzdamen,e9c37125-0d80-40f3-9609-fa55ecc74355,18960823
koch,700f67de-4d7f-4f6c-8997-a42cfd31f492,18960823
zahltellner,5fc2ab26-8270-4775-a580-85f8e5dcf8de,18960823
lehrmädchen,c2ea9ba2-18c3-4b0d-8d39-5712d0e1bed0,18960823
köchinnen,897defad-d193-4230-ab17-dbcfcddcecce,18960823
stubeumädchen,897defad-d193-4230-ab17-dbcfcddcecce,18960823
byuchhalter,2e5eeaa7-7e02-4878-91b3-f9668fe82d09,18960823
mällchen,09f443cb-d268-4ef1-a3c2-b8b7d1fc4edc,18960823
säneilerin,02581bda-8608-4093-86b3-0bb0a9a1e4f9,18960823
buchhalter,f5ae888b-c42c-46e7-991e-31a7676b6a83,18960823
correpondent,f5ae888b-c42c-46e7-991e-31a7676b6a83,18960823
praktikant,cf4a7cb9-ed37-49d1-9929-f959d5645f36,18960823
kellnerjungen,3b98c577-30d6-4503-b3b1-9cbd25713240,18960823
stütze,19959aab-86df-46a1-82b2-b51619bdabe7,18960823
erzielerin,f7acd559-f366-49da-a79a-ce02b03fefa8,18960823
praktikant,84b310ec-8b23-4c39-b2f4-33b825bab13e,18960823
ſucht,47639bc9-0cbe-4425-aee9-43d73b1de6e7,18960823
vertreter,47639bc9-0cbe-4425-aee9-43d73b1de6e7,18960823
magazineur,2c8c89e3-0c6c-47ad-8a6d-e9fe7d1c6050,18960823
platagent,2c8c89e3-0c6c-47ad-8a6d-e9fe7d1c6050,18960823
commis,d3fd11af-a285-44e7-95de-5c41d24dd10b,18960823
commis,3a9c7491-c68d-42c8-a793-f7f90c904414,18960823
bahndveamter,aaa18118-0889-49ed-ba08-b0e31e4adad6,18960823
stenograph,df7c921c-43aa-4f3e-98ad-8e1e92c67b41,18960823
fachmann,27fa02b7-ee8a-483c-a523-48401aad6c61,18960823
comptoiriſt,0bb56636-851a-4148-b1ab-ce13481de680,18960823
volontair,0bb56636-851a-4148-b1ab-ce13481de680,18960823
ſucht,0bb56636-851a-4148-b1ab-ce13481de680,18960823
erzieherin,cb6de1bf-1c1a-48c4-8c9b-c23d5e8d6aab,18960823
lehrerin,cb6de1bf-1c1a-48c4-8c9b-c23d5e8d6aab,18960823
stütze,cdf10d95-8c0c-4c9b-a05a-7e5571d3fdb3,18960823
unterofficier,bc477748-aa99-4a4b-bb7e-696a4c278236,18960823
agent,0e80be97-dda5-48f4-b549-db0254ac3819,18960823
commis,c299d59b-70c2-410c-9f4e-e9cf3d791f66,18960823
lehrknabe,8423a7dc-9c1e-4879-a389-b073fb5af30c,18960823
commis,e71b901e-8149-4b04-b7b9-19b1944e7336,18960823
agent,5580640e-dd80-4844-8a6f-d59f95d2aebc,18960823
commis,4a297088-39c5-4b5f-9dc3-0f34b52666a0,18960823
platzagent,c9f6d802-858f-458d-81b8-1a69e5b4fb3e,19110331
commisd,82a135f3-13e5-4609-ba54-3adc0d71f2c7,19110331
oder,6bba4e9f-7def-4884-a5e9-07ba6d26a625,19110331
comptoiriſt,6bba4e9f-7def-4884-a5e9-07ba6d26a625,19110331
kommis,2dedec77-d379-4a9f-a658-5f3d2100a0ea,19110331
vertreter,fb9e76c1-e66b-477b-8698-73f8d275277e,19110331
reiſen,92070e62-f405-406e-bf53-150c34dcfcdc,19110331
verkäufer,be2db25e-fb4a-4d2a-be52-280a47498935,19110331
auslagenarrangeur,be2db25e-fb4a-4d2a-be52-280a47498935,19110331
schildermalergehilfe,a2f6f0a3-7917-414e-8f9f-42f78d04185a,19110331
gehilfe,5b471079-7030-4f91-9851-1ba1d1343be1,19110331
concipient,f8e0bb65-bb22-4137-97b7-d15489a55b09,19110331
uhontor⸗praktikant,980ae2ab-5c47-4e54-ae1f-e4c8b1d2e908,19110331
oberkellner,f91bdadb-4f8d-4a41-92ad-15d886d1c837,19110331
zahlkellner,417c16a2-1e00-4095-882c-3cae252e9795,19110331
speiſenträger,45101071-053b-42b3-bbaa-0c46b92631f9,19110331
wagenlackierer,d1004dee-9a71-48ea-b416-0dde430c2ae1,19110331
arbeiter,17f5f918-c187-421e-9371-e7852695700b,19110331
heizer,28ebc2b7-54f0-427d-aa89-974128fd0f41,19110331
maschinist,28ebc2b7-54f0-427d-aa89-974128fd0f41,19110331
lehrknabe,932efee4-c32a-4698-86e3-c523ee5c931d,19110331
lehrknabe,bf37118a-497a-4e5e-a786-b6a3bb49023a,19110331
zuckerbäcker,ed3f9e30-3a79-4594-add3-ba7a877563b3,19110331
aushilfe,aab9cde5-af65-4bf3-97e9-2fd062b8966f,19110331
geſellſchafterin,0de7c39a-c127-43cb-9d8d-f947e1d2bf02,19110331
stütze,bfb153d5-ad57-4ff5-9bbd-8e331719f6eb,19110331
arbeitsmädchen,bfb153d5-ad57-4ff5-9bbd-8e331719f6eb,19110331
buchhalterin,e585afbe-390a-47b2-87ca-f07af47f47b0,19110331
verkäuferinnen,540865cd-887f-48de-8427-9c351aa6bb7d,19110331
lehrmädchen,540865cd-887f-48de-8427-9c351aa6bb7d,19110331
tuchtige,ad8cb103-9d2e-45a9-88c6-07c5ca40c540,19110331
verkäuferin,ad8cb103-9d2e-45a9-88c6-07c5ca40c540,19110331
verkäuferin,acb4ba1d-166a-44d0-9537-1653f664ecea,19110331
